ID,Product Name,Product Description,Price,Availability,Color,Img Path,Product Link
WCKT23225T,Sleeveless T-shirt,Dyed | Flat Back Variegated Rib,2190,In Stock,GREEN,images\WCKT23225T,https://pk.khaadi.com/sleeveless-t-shirt-wckt23225t-1001775836.html
WCKT23221,Round Neck T-shirt,Printed | Cotton Jersey,1990,In Stock,YELLOW,images\WCKT23221,https://pk.khaadi.com/round-neck-t-shirt-wckt23221-1001775828.html
WCKT23225,V Neck Blouse,Dyed | Flat Back Variegated Rib,2990,In Stock,GREEN,images\WCKT23225,https://pk.khaadi.com/v-neck-blouse-wckt23225-1001775832.html
WCKT23228,Drop Shoulder T-shirt,Printed | Cotton Jersey,2190,In Stock,WHITE,images\WCKT23228,https://pk.khaadi.com/drop-shoulder-t-shirt-wckt23228-1001775844.html
WCKT23229,A Line Dress,Dyed | Flat Back Variegated Rib,3190,In Stock,BLACK,images\WCKT23229,https://pk.khaadi.com/a-line-dress-wckt23229-1001775848.html
WCKD23210,Belted A Line Dress,Dyed | Flat Back Variegated Rib,3990,In Stock,GREY,images\WCKD23210,https://pk.khaadi.com/belted-a-line-dress-wckd23210-1001775824.html
WCKB23227,Bootcut Trousers,Dyed | Flat Back Variegated Rib,2790,In Stock,GREEN,images\WCKB23227,https://pk.khaadi.com/bootcut-trousers-wckb23227-1001775816.html
WCKB23213,Balloon Trousers,Dyed | Lycra Jersey,2790,In Stock,BLACK,images\WCKB23213,https://pk.khaadi.com/balloon-trousers-wckb23213-1001775813.html
WSCT23232,Button Down Shirt,Dyed Embroidered | Viscose Oak Silk,5490,In Stock,BROWN,images\WSCT23232,https://pk.khaadi.com/button-down-shirt-wsct23232-1001788717.html
WSCD23249T,Oversized Blouse,Printed | Viscose Crepe,3690,In Stock,MULTI,images\WSCD23249T,https://pk.khaadi.com/oversized-blouse-wscd23249t-1001789062.html
WSCD23249,Belted Kaftan,Printed | Viscose Crepe,4190,In Stock,MULTI,images\WSCD23249,https://pk.khaadi.com/belted-kaftan-wscd23249-1001789060.html
WSCT23234,Button Down Shirt,Printed | Viscose Crepe,3690,In Stock,BLACK,images\WSCT23234,https://pk.khaadi.com/button-down-shirt-wsct23234-1001789074.html
WSCT23235,Tie Neck Blouse,Printed | Bamber Chiffon,4190,In Stock,BROWN,images\WSCT23235,https://pk.khaadi.com/tie-neck-blouse-wsct23235-1001789078.html
WSCT23211,V Neck Blouse,Dyed Embroidered | Organza,5490,In Stock,OFF-WHITE,images\WSCT23211,https://pk.khaadi.com/v-neck-blouse-wsct23211-1001789086.html
WSCT23233,Raglan Blouse,Printed | Viscose Crepe,3690,In Stock,MULTI,images\WSCT23233,https://pk.khaadi.com/raglan-blouse-wsct23233-1001789070.html
WSCT23237,Raglan Tunic,Printed Embroidered | Bamber Chiffon,4490,In Stock,BLACK,images\WSCT23237,https://pk.khaadi.com/raglan-tunic-wsct23237-1001789082.html
WSCD23253,Oversized Blouse,Dyed Embroidered | Viscose Crepe,3690,In Stock,BLACK,images\WSCD23253,https://pk.khaadi.com/oversized-blouse-wscd23253-1001788705.html
WSCD23252,Belted Shirt Dress,Dyed Embroidered | Viscose Oak Silk,6490,In Stock,BLACK,images\WSCD23252,https://pk.khaadi.com/belted-shirt-dress-wscd23252-1001788721.html
WSCB23231,Bootcut Trousers,Dyed | Viscose Oak Silk,2990,In Stock,BROWN,images\WSCB23231,https://pk.khaadi.com/bootcut-trousers-wscb23231-1001788693.html
WCWD23221,Tiered Dress,Dyed Embroidered | Cotton Cottel,4990,In Stock,BLUE,images\WCWD23221,https://pk.khaadi.com/tiered-dress-wcwd23221-1001777887.html
WCWB23219,Drop Shoulder Button Down Shirt,Dyed | Cotton Stretch Poplin,4690,In Stock,GREEN,images\WCWB23219,https://pk.khaadi.com/drop-shoulder-button-down-shirt-wcwb23219-1001786457.html
WCWD23221D,Tiered Dress,Dyed Embroidered | Cotton Cottel,5490,In Stock,BLUE,images\WCWD23221D,https://pk.khaadi.com/tiered-dress-wcwd23221d-1001777891.html
WCWT23215,Band Collar Button Down Shirt,Dyed Embroidered | Cambric,4490,In Stock,BEIGE,images\WCWT23215,https://pk.khaadi.com/band-collar-button-down-shirt-wcwt23215-1001777903.html
WCWT23213,Raglan Button Down Shirt,Dyed | Cotton Cottel,4490,In Stock,WHITE,images\WCWT23213,https://pk.khaadi.com/raglan-button-down-shirt-wcwt23213-1001783752.html
WCWT23217,Batwing Blouse,Printed | Cotton Viscose,4690,In Stock,BROWN,images\WCWT23217,https://pk.khaadi.com/batwing-blouse-wcwt23217-1001778381.html
WCWB23216,Drop Shoulder Button Down Shirt,Dyed Embroidered | Cotton Stretch Poplin,4490,In Stock,BLUE,images\WCWB23216,https://pk.khaadi.com/drop-shoulder-button-down-shirt-wcwb23216-1001787858.html
WCWT23214,Drop Shoulder Button Down Shirt,Dyed Embroidered | Cotton Stretch Poplin,4490,In Stock,BLACK,images\WCWT23214,https://pk.khaadi.com/drop-shoulder-button-down-shirt-wcwt23214-1001787854.html
